ρ,1x1,1x2,2x2,1x3,2x3,3x3,1x4,2x4,3x4,4x4,1x5,2x5,3x5,4x5,5x5,1x6,2x6,3x6,4x6,5x6,6x6,1x7,2x7,3x7,4x7,5x7,6x7,7x7,1x8,2x8,3x8,4x8,5x8,6x8,7x8,8x8,1x9,2x9,3x9,4x9,5x9,6x9,7x9,8x9,9x9,1x10,2x10,3x10,4x10,5x10,6x10,7x10,8x10,9x10,10x10,1x11,2x11,3x11,4x11,5x11,6x11,7x11,8x11,9x11,10x11,11x11,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,E1,E2,E3,G23,G13,G12,nu12,nu13,nu23,nu21,nu31,nu32,BV,GV,BR,GR,AU,cond_C_debug,sym_resid_debug,invert_warn_debug,pinv_debug
0.29999999999999999,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16.2442166588418,-4.3905896636785418,-4.3921223579530597,0,0,0,-4.3905896636785426,16.253852629452737,-4.3922014849638886,0,0,0,-4.3921223579530597,-4.3922014849638886,16.260168531794641,0,0,0,0,-0,-0,38.959015116097866,-0,-0,0,0,0,0,39.076237739830411,0,0,0,0,0,0,39.013732833957555,0.06156037074620619,0.061523875157324451,0.061499977570627903,0.025668,0.025590999999999999,0.025631999999999999,0.27028632749051179,0.27038068071829169,0.27022525582673335,0.2701260903351978,0.2701154265015665,0.27012029281095773,0.044626111111111109,0.025066066666666664,0.044626100825149118,0.025046772243285359,0.0038519091023623275,5.2314622652851659,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.194443522542244,-7.1844926621341179,-7.1673630153743568,0,0,0,-7.1844926621341187,22.172021791107621,-7.1458727024967077,0,0,0,-7.1673630153743568,-7.1458727024967077,22.140889322775195,0,0,0,0,-0,-0,37.802895701810755,-0,-0,0,0,0,0,37.755795514611492,0,0,0,0,0,0,37.740121523191306,0.045056322272028555,0.045101886035537955,0.045165304131273148,0.026453000000000004,0.026485999999999999,0.026497,0.32370681674613916,0.32293501786132539,0.32229233625246811,0.3240341692707317,0.32371613040862179,0.32274551389162653,0.042531666666666662,0.022704999999999999,0.042531658025068315,0.021678907990380136,0.23665695961736866,4.8234608348636412,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.448658158198011,-6.4678271604974258,-6.4464256043142019,0,0,0,-6.4678271604974258,21.441084588384413,-6.4595608415652865,0,0,0,-6.446425604314201,-6.4595608415652865,21.438720835250113,0,0,0,0,-0,-0,41.225213340479037,-0,-0,0,0,0,0,41.204829205982946,0,0,0,0,0,0,41.289896362360132,0.046622963200044491,0.046639431689092091,0.046644573978302545,0.024257000000000001,0.024268999999999995,0.024218999999999997,0.30154926768811974,0.30055146372176561,0.30127024661171836,0.30165578302887414,0.30069077599605742,0.30130346354173826,0.039091777777777774,0.021717266666666669,0.039091763286081126,0.021247394125479439,0.11057217504778016,4.8422871487848607,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15.247634909853652,-3.9311708906851619,-3.9303850752229317,0,0,0,-3.931170890685161,15.25014252388155,-3.9182713526167925,0,0,0,-3.9303850752229321,-3.9182713526167916,15.256875830734137,0,0,0,0,-0,-0,36.686477364443462,-0,-0,0,0,0,0,36.779579977196661,0,0,0,0,0,0,36.703982382088462,0.06558394176619213,0.065573157656330844,0.065544218298319967,0.027258000000000004,0.027188999999999998,0.027244999999999995,0.25782168276764528,0.25777014589213143,0.25693342514542561,0.25777928858887661,0.25761401736687062,0.25682003288796845,0.045055222222222219,0.026766933333333333,0.045055195397246214,0.026754753231248703,0.0022768455066568549,4.9713383053339077,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.16273271145176,-5.5116110787659389,-5.6634104471647841,0,0,0,-5.5116110787659389,23.158215432194979,-5.5528493040144973,0,0,0,-5.663410447164785,-5.5528493040144982,23.082211312394485,0,0,0,0,-0,-0,50.150451354062191,-0,-0,0,0,0,0,50.092671442168005,0,0,0,0,0,0,50.032521138740179,0.043172798842754656,0.043181220199281049,0.043323405477317882,0.019939999999999999,0.019963000000000002,0.019987000000000001,0.23795167640305989,0.24450527999940044,0.23977880853007455,0.237998091644989,0.24535822718699818,0.24056834195226251,0.027819111111111114,0.018944266666666668,0.027818409813766348,0.018859596582396852,0.022472690054406996,4.1854986592088315,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21.15384079172566,-6.375499909422115,-6.3422594916664803,0,0,0,-6.375499909422115,21.175661955614004,-6.3529227386603653,0,0,0,-6.3422594916664794,-6.3529227386603671,21.153561032722234,0,0,0,0,-0,-0,52.140361854111262,-0,-0,0,0,0,0,52.015604681404426,0,0,0,0,0,0,52.007489078427298,0.047272739255518587,0.04722402549191073,0.047273364444554274,0.019179000000000002,0.019224999999999999,0.019227999999999999,0.30138734484169399,0.29981597924038739,0.30001058535863645,0.30107677024622453,0.29981994435148301,0.30032403191278734,0.039460666666666672,0.018794400000000003,0.039460652588739958,0.018780392531756618,0.0037296367030048572,6.1724812935364044,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.887587621615461,-2.7597177841397023,-2.74938052322022,0,0,0,-2.7597177841397023,11.962288620496565,-2.7741540666454241,0,0,0,-2.7493805232202204,-2.7741540666454245,11.941906045314918,0,0,0,0,-0,-0,44.336067390822436,-0,-0,0,0,0,0,44.503782821539829,0,0,0,0,0,0,44.357700496806245,0.084121356816052234,0.083596043510149737,0.083738726146846784,0.022554999999999999,0.02247,0.022544000000000002,0.23215120443122092,0.23128162001691252,0.23190830405914972,0.23070148795867659,0.23022962270741237,0.23230412767598255,0.052015111111111109,0.027127066666666665,0.0520148537751806,0.026046514629676002,0.20743232340743756,6.9446342950212738,0,False,
0.29999999999999999,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,19.098974594306458,-4.2739166387467149,-4.2655324262203971,0,0,0,-4.2739166387467149,19.158841075795628,-4.2733679271337044,0,0,0,-4.2655324262203962,-4.2733679271337053,19.137782451512706,0,0,0,0,-0,-0,58.554865909357069,-0,-0,0,0,0,0,58.637269848715846,0,0,0,0,0,0,58.58917272088118,0.052358831887137393,0.052195223920060208,0.052252657931167831,0.017077999999999999,0.017054,0.017068,0.22377728278777859,0.22333829521360707,0.22304939584954722,0.22307803597505585,0.22288540676159876,0.22329483251054125,0.031476333333333335,0.018785999999999997,0.031476270973260972,0.0185602771740438,0.060810024031241916,5.537067829709736,0,False,
0.29999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12.414932338771793,-2.9013746575016435,-2.9021256694750286,0,0,0,-2.9013746575016435,12.429691394787305,-2.894847085485083,0,0,0,-2.9021256694750281,-2.894847085485083,12.434305528368103,0,0,0,0,-0,-0,42.121224885219661,-0,-0,0,0,0,0,42.153184673102054,0,0,0,0,0,0,42.158516020236085,0.08054816351088788,0.080452520359385146,0.080422665963817724,0.023741000000000002,0.023723000000000001,0.023720000000000001,0.23370040031878869,0.23376089295401953,0.23289774408229538,0.23342290370285507,0.23339668330121108,0.23281132017229811,0.050296222222222214,0.027286733333333334,0.050296157766797904,0.026633149927806927,0.12270239034239339,6.3612484824969613,0,False,
0.29999999999999999,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.867786215667341,-6.1715064978548195,-6.1754863174225676,0,0,0,-6.1715064978548204,20.905473298249479,-6.1789727620317274,0,0,0,-6.1754863174225649,-6.1789727620317274,20.904828916707263,0,0,0,0,-0,-0,34.638032559750606,-0,-0,0,0,0,0,34.722222222222221,0,0,0,0,0,0,34.672861551263829,0.047920751615195732,0.04783436307484773,0.047835837546644264,0.02887,0.028799999999999999,0.028840999999999999,0.29574322997526731,0.29593394592024669,0.29556722652862033,0.29521008253716946,0.29540956025175025,0.29557633724968951,0.039022666666666671,0.024691000000000005,0.039022627904352812,0.023551002398974959,0.24202839872627013,4.0648629744755365,0,False,
